
			+-------------+
			| ASCII TABLE |
			+-------------+

Decimal Value: 0	Hex Value: 0x0		Char Value: \0
Decimal Value: 1	Hex Value: 0x1		Char Value: \x1
Decimal Value: 2	Hex Value: 0x2		Char Value: \x2
Decimal Value: 3	Hex Value: 0x3		Char Value: \x3
Decimal Value: 4	Hex Value: 0x4		Char Value: \x4
Decimal Value: 5	Hex Value: 0x5		Char Value: \x5
Decimal Value: 6	Hex Value: 0x6		Char Value: \x6
Decimal Value: 7	Hex Value: 0x7		Char Value: \a
Decimal Value: 8	Hex Value: 0x8		Char Value: \b
Decimal Value: 9	Hex Value: 0x9		Char Value: \t
Decimal Value: 10	Hex Value: 0xa		Char Value: \n
Decimal Value: 11	Hex Value: 0xb		Char Value: \v
Decimal Value: 12	Hex Value: 0xc		Char Value: \f
Decimal Value: 13	Hex Value: 0xd		Char Value: \r
Decimal Value: 14	Hex Value: 0xe		Char Value: \xe
Decimal Value: 15	Hex Value: 0xf		Char Value: \xf
Decimal Value: 16	Hex Value: 0x10		Char Value: \x10
Decimal Value: 17	Hex Value: 0x11		Char Value: \x11
Decimal Value: 18	Hex Value: 0x12		Char Value: \x12
Decimal Value: 19	Hex Value: 0x13		Char Value: \x13
Decimal Value: 20	Hex Value: 0x14		Char Value: \x14
Decimal Value: 21	Hex Value: 0x15		Char Value: \x15
Decimal Value: 22	Hex Value: 0x16		Char Value: \x16
Decimal Value: 23	Hex Value: 0x17		Char Value: \x17
Decimal Value: 24	Hex Value: 0x18		Char Value: \x18
Decimal Value: 25	Hex Value: 0x19		Char Value: \x19
Decimal Value: 26	Hex Value: 0x1a		Char Value: \x1a
Decimal Value: 27	Hex Value: 0x1b		Char Value: \x1b
Decimal Value: 28	Hex Value: 0x1c		Char Value: \x1c
Decimal Value: 29	Hex Value: 0x1d		Char Value: \x1d
Decimal Value: 30	Hex Value: 0x1e		Char Value: \x1e
Decimal Value: 31	Hex Value: 0x1f		Char Value: \x1f
Decimal Value: 32	Hex Value: 0x20		Char Value: SPACE
Decimal Value: 33	Hex Value: 0x21		Char Value: !
Decimal Value: 34	Hex Value: 0x22		Char Value: "
Decimal Value: 35	Hex Value: 0x23		Char Value: #
Decimal Value: 36	Hex Value: 0x24		Char Value: $
Decimal Value: 37	Hex Value: 0x25		Char Value: %
Decimal Value: 38	Hex Value: 0x26		Char Value: &
Decimal Value: 39	Hex Value: 0x27		Char Value: '
Decimal Value: 40	Hex Value: 0x28		Char Value: (
Decimal Value: 41	Hex Value: 0x29		Char Value: )
Decimal Value: 42	Hex Value: 0x2a		Char Value: *
Decimal Value: 43	Hex Value: 0x2b		Char Value: +
Decimal Value: 44	Hex Value: 0x2c		Char Value: ,
Decimal Value: 45	Hex Value: 0x2d		Char Value: -
Decimal Value: 46	Hex Value: 0x2e		Char Value: .
Decimal Value: 47	Hex Value: 0x2f		Char Value: /
Decimal Value: 48	Hex Value: 0x30		Char Value: 0
Decimal Value: 49	Hex Value: 0x31		Char Value: 1
Decimal Value: 50	Hex Value: 0x32		Char Value: 2
Decimal Value: 51	Hex Value: 0x33		Char Value: 3
Decimal Value: 52	Hex Value: 0x34		Char Value: 4
Decimal Value: 53	Hex Value: 0x35		Char Value: 5
Decimal Value: 54	Hex Value: 0x36		Char Value: 6
Decimal Value: 55	Hex Value: 0x37		Char Value: 7
Decimal Value: 56	Hex Value: 0x38		Char Value: 8
Decimal Value: 57	Hex Value: 0x39		Char Value: 9
Decimal Value: 58	Hex Value: 0x3a		Char Value: :
Decimal Value: 59	Hex Value: 0x3b		Char Value: ;
Decimal Value: 60	Hex Value: 0x3c		Char Value: <
Decimal Value: 61	Hex Value: 0x3d		Char Value: =
Decimal Value: 62	Hex Value: 0x3e		Char Value: >
Decimal Value: 63	Hex Value: 0x3f		Char Value: ?
Decimal Value: 64	Hex Value: 0x40		Char Value: @
Decimal Value: 65	Hex Value: 0x41		Char Value: A
Decimal Value: 66	Hex Value: 0x42		Char Value: B
Decimal Value: 67	Hex Value: 0x43		Char Value: C
Decimal Value: 68	Hex Value: 0x44		Char Value: D
Decimal Value: 69	Hex Value: 0x45		Char Value: E
Decimal Value: 70	Hex Value: 0x46		Char Value: F
Decimal Value: 71	Hex Value: 0x47		Char Value: G
Decimal Value: 72	Hex Value: 0x48		Char Value: H
Decimal Value: 73	Hex Value: 0x49		Char Value: I
Decimal Value: 74	Hex Value: 0x4a		Char Value: J
Decimal Value: 75	Hex Value: 0x4b		Char Value: K
Decimal Value: 76	Hex Value: 0x4c		Char Value: L
Decimal Value: 77	Hex Value: 0x4d		Char Value: M
Decimal Value: 78	Hex Value: 0x4e		Char Value: N
Decimal Value: 79	Hex Value: 0x4f		Char Value: O
Decimal Value: 80	Hex Value: 0x50		Char Value: P
Decimal Value: 81	Hex Value: 0x51		Char Value: Q
Decimal Value: 82	Hex Value: 0x52		Char Value: R
Decimal Value: 83	Hex Value: 0x53		Char Value: S
Decimal Value: 84	Hex Value: 0x54		Char Value: T
Decimal Value: 85	Hex Value: 0x55		Char Value: U
Decimal Value: 86	Hex Value: 0x56		Char Value: V
Decimal Value: 87	Hex Value: 0x57		Char Value: W
Decimal Value: 88	Hex Value: 0x58		Char Value: X
Decimal Value: 89	Hex Value: 0x59		Char Value: Y
Decimal Value: 90	Hex Value: 0x5a		Char Value: Z
Decimal Value: 91	Hex Value: 0x5b		Char Value: [
Decimal Value: 92	Hex Value: 0x5c		Char Value: \
Decimal Value: 93	Hex Value: 0x5d		Char Value: ]
Decimal Value: 94	Hex Value: 0x5e		Char Value: ^
Decimal Value: 95	Hex Value: 0x5f		Char Value: _
Decimal Value: 96	Hex Value: 0x60		Char Value: `
Decimal Value: 97	Hex Value: 0x61		Char Value: a
Decimal Value: 98	Hex Value: 0x62		Char Value: b
Decimal Value: 99	Hex Value: 0x63		Char Value: c
Decimal Value: 100	Hex Value: 0x64		Char Value: d
Decimal Value: 101	Hex Value: 0x65		Char Value: e
Decimal Value: 102	Hex Value: 0x66		Char Value: f
Decimal Value: 103	Hex Value: 0x67		Char Value: g
Decimal Value: 104	Hex Value: 0x68		Char Value: h
Decimal Value: 105	Hex Value: 0x69		Char Value: i
Decimal Value: 106	Hex Value: 0x6a		Char Value: j
Decimal Value: 107	Hex Value: 0x6b		Char Value: k
Decimal Value: 108	Hex Value: 0x6c		Char Value: l
Decimal Value: 109	Hex Value: 0x6d		Char Value: m
Decimal Value: 110	Hex Value: 0x6e		Char Value: n
Decimal Value: 111	Hex Value: 0x6f		Char Value: o
Decimal Value: 112	Hex Value: 0x70		Char Value: p
Decimal Value: 113	Hex Value: 0x71		Char Value: q
Decimal Value: 114	Hex Value: 0x72		Char Value: r
Decimal Value: 115	Hex Value: 0x73		Char Value: s
Decimal Value: 116	Hex Value: 0x74		Char Value: t
Decimal Value: 117	Hex Value: 0x75		Char Value: u
Decimal Value: 118	Hex Value: 0x76		Char Value: v
Decimal Value: 119	Hex Value: 0x77		Char Value: w
Decimal Value: 120	Hex Value: 0x78		Char Value: x
Decimal Value: 121	Hex Value: 0x79		Char Value: y
Decimal Value: 122	Hex Value: 0x7a		Char Value: z
Decimal Value: 123	Hex Value: 0x7b		Char Value: {
Decimal Value: 124	Hex Value: 0x7c		Char Value: |
Decimal Value: 125	Hex Value: 0x7d		Char Value: }
Decimal Value: 126	Hex Value: 0x7e		Char Value: ~
Decimal Value: 127	Hex Value: 0x7f		Char Value: DEL
Decimal Value: 128	Hex Value: 0x80		Char Value: Ä
Decimal Value: 129	Hex Value: 0x81		Char Value: Å
Decimal Value: 130	Hex Value: 0x82		Char Value: Ç
Decimal Value: 131	Hex Value: 0x83		Char Value: É
Decimal Value: 132	Hex Value: 0x84		Char Value: Ñ
Decimal Value: 133	Hex Value: 0x85		Char Value: Ö
Decimal Value: 134	Hex Value: 0x86		Char Value: Ü
Decimal Value: 135	Hex Value: 0x87		Char Value: á
Decimal Value: 136	Hex Value: 0x88		Char Value: à
Decimal Value: 137	Hex Value: 0x89		Char Value: â
Decimal Value: 138	Hex Value: 0x8a		Char Value: ä
Decimal Value: 139	Hex Value: 0x8b		Char Value: ã
Decimal Value: 140	Hex Value: 0x8c		Char Value: å
Decimal Value: 141	Hex Value: 0x8d		Char Value: ç
Decimal Value: 142	Hex Value: 0x8e		Char Value: é
Decimal Value: 143	Hex Value: 0x8f		Char Value: è
Decimal Value: 144	Hex Value: 0x90		Char Value: ê
Decimal Value: 145	Hex Value: 0x91		Char Value: ë
Decimal Value: 146	Hex Value: 0x92		Char Value: í
Decimal Value: 147	Hex Value: 0x93		Char Value: ì
Decimal Value: 148	Hex Value: 0x94		Char Value: î
Decimal Value: 149	Hex Value: 0x95		Char Value: ï
Decimal Value: 150	Hex Value: 0x96		Char Value: ñ
Decimal Value: 151	Hex Value: 0x97		Char Value: ó
Decimal Value: 152	Hex Value: 0x98		Char Value: ò
Decimal Value: 153	Hex Value: 0x99		Char Value: ô
Decimal Value: 154	Hex Value: 0x9a		Char Value: ö
Decimal Value: 155	Hex Value: 0x9b		Char Value: õ
Decimal Value: 156	Hex Value: 0x9c		Char Value: ú
Decimal Value: 157	Hex Value: 0x9d		Char Value: ù
Decimal Value: 158	Hex Value: 0x9e		Char Value: û
Decimal Value: 159	Hex Value: 0x9f		Char Value: ü
